origin;destination;number
37970007;other;680.0
30000425;30000412;10.0
30001622;30001352;10.0
30000821;36160007;10.0
12000022;36480001;10.0
30002411;30000842;10.0
30002212;30000412;10.0
30000522;30002811;10.0
30001353;30000533;10.0
30000824;30001021;10.0
30000426;30000932;10.0
30002312;30000842;10.0
10150005;30000511;20.0
30000124;30000114;10.0
30000923;30001034;10.0
30001216;30000511;10.0
30000821;30001146;20.0
30002411;30000853;10.0
30001625;30001222;20.0
30001123;30001147;10.0
30002512;30002312;10.0
30002212;30000425;10.0
30001626;30000864;10.0
30001632;30001033;10.0
30000424;other;110.0
30001353;30000542;10.0
12000014;12000033;10.0
30002312;30000832;10.0
30000862;other;30.0
30001345;other;220.0
30002611;30001013;10.0
30000856;30000863;10.0
30000924;10560001;10.0
30001351;30000822;10.0
30000425;30000432;10.0
30002611;30001016;10.0
30000934;30002412;20.0
30000934;30002411;10.0
37800004;10560001;10.0
12000013;30002111;10.0
30001345;30001114;10.0
30000931;30001345;10.0
30001123;30001134;10.0
30001032;30000543;20.0
36160009;37800004;10.0
36160009;37800005;30.0
30001121;30000542;10.0
37800006;36160005;10.0
30000842;30001343;10.0
30000914;30000924;10.0
37800002;30001641;10.0
30001021;other;150.0
30001115;30000853;10.0
30000135;30002811;10.0
30000511;30000425;10.0
30001011;30002513;10.0
30001351;30001622;10.0
37970009;37970007;10.0
30000421;30000523;10.0
other;30001021;30.0
30000421;30000521;10.0
30001354;30001021;10.0
30000511;30000426;10.0
30000912;30002512;10.0
36160006;36500001;10.0
30002311;30000853;10.0
other;36500001;120.0
30002711;30002412;10.0
30001132;10560001;50.0
30000543;30001222;10.0
36160007;30001322;20.0
30000864;30000824;10.0
36160010;30002412;10.0
30000511;30002612;10.0
30000914;30000912;10.0
36160010;30002411;10.0
30000848;30000513;10.0
30002212;30002511;10.0
30002513;36160007;10.0
other;30001034;10.0
30000511;other;190.0
other;30001035;10.0
other;30001032;10.0
30001342;30001345;10.0
30000421;30000511;10.0
30001352;30000842;10.0
30002311;30000848;10.0
30002212;30002512;20.0
30001352;30000841;20.0
30000433;other;450.0
7800001;30001011;10.0
30000924;30001114;10.0
36160008;30000511;10.0
26100016;other;140.0
30002613;30001212;10.0
30002311;30000841;20.0
30002312;30000924;10.0
30001021;30000924;10.0
30000432;30001021;10.0
30001334;30001023;20.0
30001144;30000811;10.0
30000134;30000124;10.0
10150004;10150005;10.0
30001352;30000812;10.0
30001016;30000425;10.0
30002212;other;800.0
30001313;30001146;10.0
30000924;30002411;10.0
30002311;30000835;10.0
30001141;30001021;10.0
12000021;other;180.0
30001626;other;260.0
30002311;30000832;10.0
26100034;26100034;10.0
30001641;30002312;10.0
30002312;30000914;10.0
30002312;30000912;10.0
30001321;30001021;10.0
30001141;30001013;20.0
30000432;30001015;40.0
30001024;30002512;10.0
30001132;36160008;10.0
12000025;26100014;10.0
37970002;other;470.0
other;30001015;20.0
30001016;30002612;10.0
other;30001013;20.0
30000821;30001114;10.0
30002612;30001141;10.0
30000812;36160009;10.0
30000114;30000543;10.0
30000114;30000542;10.0
30000531;30002412;10.0
26100011;other;30.0
30002412;30001021;10.0
30002612;30001114;40.0
12000034;12000026;10.0
30000412;30001021;20.0
30000134;30000543;10.0
30000848;other;100.0
30000542;30001121;10.0
30000821;30002411;10.0
12000014;30000853;10.0
30001124;30000812;10.0
10150006;11370001;10.0
37800004;11370001;30.0
30000822;other;90.0
26100012;30000832;10.0
30000924;30001146;10.0
26100035;26100014;10.0
30001014;30001143;10.0
30000842;30000543;10.0
30000426;30000426;20.0
10150005;30000924;60.0
30000515;30000426;30.0
30001144;30000842;10.0
26100032;other;1030.0
30000515;30000425;20.0
30001141;30001034;10.0
30000915;30001021;10.0
30001144;30000848;10.0
30002211;30002512;10.0
30002211;30002513;10.0
12000034;26100012;10.0
30001626;30001344;10.0
30000915;30001013;10.0
30002711;30001114;10.0
30000134;30000533;10.0
30001141;30001032;10.0
30000543;other;150.0
30000113;30001321;10.0
26100034;26100015;10.0
30001141;other;250.0
30001311;30000924;10.0
10150005;30000915;10.0
10150005;30000914;40.0
other;30001042;20.0
30001214;30000848;10.0
30000841;30002211;10.0
10150006;30001021;20.0
26100035;26100038;10.0
30000822;30001355;10.0
36160009;30002811;10.0
other;30001043;10.0
30001115;other;230.0
36160007;30000436;10.0
10150006;30001015;10.0
30000511;30000848;10.0
10150005;30000916;10.0
36160007;30002612;10.0
26100032;12000031;10.0
30000132;30000824;10.0
30001624;30001021;10.0
30000511;30000853;20.0
30000421;30000934;80.0
36160009;10150004;20.0
30001035;30001212;10.0
30000932;other;1390.0
30001011;37970010;10.0
30000421;30000931;10.0
30001351;30001632;10.0
30000421;30000932;10.0
30000915;30001035;10.0
30001343;30001336;10.0
37800005;30000112;10.0
26100015;26100036;10.0
30001211;10560001;10.0
36500001;36500001;90.0
30000824;30002811;10.0
30000124;other;140.0
30002211;30001631;10.0
30000123;30002612;10.0
30000853;30002312;10.0
10150002;other;520.0
30000411;30000914;10.0
30001351;30001222;10.0
30001146;30000541;10.0
12000014;30000811;10.0
30001016;30000848;10.0
30001351;30001221;10.0
37800005;37800006;10.0
30000123;30002611;10.0
